0.500000 0.000000
0.480261 0.160847
0.423949 0.309606
0.338464 0.437355
0.232896 0.539559
0.115700 0.615365
-0.006364 0.666186
-0.128338 0.694499
-0.246761 0.703089
-0.359284 0.694664
-0.464340 0.671692
-0.560897 0.636360
-0.648285 0.590583
-0.726073 0.536032
-0.793993 0.474175
-0.851880 0.406312
-0.899638 0.333607
-0.937213 0.257120
-0.964580 0.177826
-0.981724 0.096644
-0.988642 0.014453
-0.985333 -0.067887
-0.971796 -0.149521
-0.948037 -0.229579
-0.914064 -0.307160
-0.869898 -0.381309
-0.815583 -0.451000
-0.751197 -0.515109
-0.676878 -0.572388
-0.592852 -0.621435
-0.499486 -0.660653
-0.397354 -0.688221
-0.287342 -0.702051
-0.170804 -0.699776
-0.049777 -0.678763
0.072716 -0.636226
0.192293 -0.569518
0.302857 -0.476732
0.396497 -0.357754
0.464150 -0.215667
0.497483 -0.057848
0.491721 0.104455
0.447714 0.258739
0.371553 0.394691
0.272050 0.506216
0.158078 0.591301
0.037051 0.650712
-0.085451 0.686659
-0.205478 0.701880
-0.320324 0.699139
-0.428179 0.681002
-0.527841 0.649759
-0.618529 0.607420
-0.699739 0.555739
-0.771151 0.496254
-0.832570 0.430322
-0.883880 0.359152
-0.925013 0.283840
-0.955937 0.205389
-0.976635 0.124736
-0.987101 0.042775
-0.987332 -0.039631
-0.977330 -0.121625
-0.957098 -0.202344
-0.926643 -0.280898
-0.885982 -0.356352
-0.835151 -0.427707
-0.774213 -0.493876
-0.703285 -0.553655
-0.622559 -0.605698
-0.532348 -0.648480
-0.433145 -0.680261
-0.325716 -0.699049
-0.211236 -0.702572
-0.091479 -0.688284
0.030910 -0.653433
0.152060 -0.595275
0.266493 -0.511559
0.366900 -0.401410
0.444471 -0.266652
0.490332 -0.113131
0.498168 0.049046
0.466796 0.207410
0.400718 0.350557
0.308146 0.470857
0.198174 0.565009
0.078810 0.632990
-0.043739 0.676642
-0.164999 0.698599
-0.281882 0.701654
-0.392302 0.688457
-0.494876 0.661399
-0.588697 0.622584
-0.673177 0.573853
-0.747942 0.516815
-0.812761 0.452886
-0.867495 0.383323
-0.912062 0.309260
-0.946420 0.231727
-0.970549 0.151686
-0.984440 0.070042
-0.988090 -0.012333
-0.981500 -0.094579
-0.964673 -0.175837
-0.937614 -0.255227
-0.900339 -0.331831
-0.852874 -0.404672
-0.795275 -0.472694
-0.727638 -0.534735
-0.650127 -0.589500
-0.563011 -0.635526
-0.466715 -0.671149
-0.361905 -0.694463
-0.249602 -0.703293
-0.131357 -0.695180
-0.009494 -0.667426
0.112564 -0.617250
0.229911 -0.542165
0.335846 -0.440714
0.421964 -0.313668
0.479171 -0.165433
0.499980 -0.004800
0.481311 0.156204
0.425897 0.305438
0.341036 0.433846
0.235816 0.536755
0.118741 0.613217
-0.003363 0.664600
-0.125479 0.693366
-0.244102 0.702305
-0.356851 0.694136
-0.462139 0.671344
-0.558920 0.636128
-0.646517 0.590416
-0.724494 0.535889
-0.792580 0.474026
-0.850609 0.406133
-0.898484 0.333381
-0.936154 0.256835
-0.963591 0.177477
-0.980784 0.096228
-0.987730 0.013973
-0.984430 -0.068428
-0.970885 -0.150116
-0.947101 -0.230218
-0.913090 -0.307829
-0.868875 -0.381994
-0.814501 -0.451683
-0.750050 -0.515770
-0.675662 -0.573007
-0.591568 -0.621987
-0.498138 -0.661114
